thread 0. word #22. length: 1, partial: 0
thread 0. word #23. length: 2, partial: 0
thread 0. word #24. length: 1, partial: 0
thread 0. word #25. length: 2, partial: 0
thread 0. word #26. length: 1, partial: 0
thread 0. word #27. length: 2, partial: 0
thread 0. word #28. length: 1, partial: 0
thread 0. word #29. length: 1, partial: 0
thread 0. word #30. length: 1, partial: 0
thread 0. word #31. length: 1, partial: 0
thread 0. word #32. length: 3, partial: 0
thread 0. word #33. length: 1, partial: 0
thread 0. word #34. length: 1, partial: 0
thread 0. word #35. length: 1, partial: 0
thread 0. word #36. length: 1, partial: 0
thread 0. word #37. length: 1, partial: 0
thread 0. word #38. length: 1, partial: 0
thread 0. word #39. length: 1, partial: 0
thread 0. word #40. length: 3, partial: 0
thread 0. word #41. length: 1, partial: 0
thread 0. word #42. length: 1, partial: 0
thread 0. word #43. length: 1, partial: 0
thread 0. word #44. length: 1, partial: 0
thread 0. word #45. length: 1, partial: 0
thread 0. word #46. length: 1, partial: 0
thread 0. word #47. length: 1, partial: 0
thread 0. word #48. length: 1, partial: 0
thread 0. word #49. length: 1, partial: 0
thread 0. word #50. length: 1, partial: 0
thread 0. word #51. length: 1, partial: 0
thread 0. word #52. length: 1, partial: 0
thread 0. word #53. length: 1, partial: 0
thread 0. word #54. length: 1, partial: 0
thread 0. word #55. length: 1, partial: 0
thread 0. word #56. length: 1, partial: 0
thread 0. word #57. length: 1, partial: 0
thread 0. word #58. length: 1, partial: 0
thread 0. word #59. length: 1, partial: 0
thread 0. word #60. length: 1, partial: 0
thread 0. word #61. length: 1, partial: 0
thread 0. word #62. length: 1, partial: 0
thread 0. word #63. length: 1, partial: 0
thread 0. word #64. length: 1, partial: 0
thread 0. word #65. length: 1, partial: 0
thread 0. word #66. length: 1, partial: 0
thread 0. word #67. length: 1, partial: 0
thread 0. word #68. length: 1, partial: 0
thread 0. word #69. length: 1, partial: 0
thread 0. word #70. length: 1, partial: 0
thread 0. word #71. length: 1, partial: 0
thread 0. word #72. length: 1, partial: 0
thread 0. word #73. length: 1, partial: 0
thread 0. word #74. length: 1, partial: 0
thread 0. word #75. length: 1, partial: 0
thread 0. word #76. length: 1, partial: 0
thread 0. word #77. length: 2, partial: 0
thread 0. word #78. length: 1, partial: 0
thread 0. word #79. length: 3, partial: 0
thread 0. word #80. length: 2, partial: 0
thread 0. word #81. length: 1, partial: 0
thread 0. word #82. length: 1, partial: 0
thread 0. word #83. length: 1, partial: 0
thread 0. word #84. length: 1, partial: 0
thread 0. word #85. length: 1, partial: 0
thread 0. word #86. length: 1, partial: 0
thread 0. word #87. length: 1, partial: 0
thread 0. word #88. length: 1, partial: 0
thread 0. word #89. length: 1, partial: 0
thread 0. word #90. length: 1, partial: 0
thread 0. word #91. length: 1, partial: 0
thread 0. word #92. length: 2, partial: 0
thread 0. word #93. length: 1, partial: 0
thread 0. word #94. length: 1, partial: 0
thread 0. word #95. length: 2, partial: 0
thread 0. word #96. length: 1, partial: 0
thread 0. word #97. length: 2, partial: 0
thread 0. word #98. length: 1, partial: 0
thread 0. word #99. length: 1, partial: 0
thread 0. word #100. length: 1, partial: 0
thread 0. word #101. length: 1, partial: 0
thread 0. word #102. length: 1, partial: 0
thread 0. word #103. length: 1, partial: 0
thread 0. word #104. length: 2, partial: 0
thread 0. word #105. length: 1, partial: 0
thread 0. word #106. length: 1, partial: 0
thread 0. word #107. length: 2, partial: 0
thread 0. word #108. length: 1, partial: 0
thread 0. word #109. length: 1, partial: 0
thread 0. word #110. length: 1, partial: 0
thread 0. word #111. length: 1, partial: 0
thread 0. word #112. length: 2, partial: 0
thread 0. word #113. length: 1, partial: 0
thread 0. word #114. length: 1, partial: 0
thread 0. word #115. length: 1, partial: 0
thread 0. word #116. length: 1, partial: 0
thread 0. word #117. length: 3, partial: 0
thread 0. word #118. length: 4, partial: 0
thread 0. word #119. length: 3, partial: 0
thread 0. word #120. length: 1, partial: 0
thread 0. word #121. length: 3, partial: 0
thread 0. word #122. length: 3, partial: 0
thread 0. word #123. length: 1, partial: 0
thread 0. word #124. length: 1, partial: 0
thread 0. word #125. length: 2, partial: 0
thread 0. word #126. length: 1, partial: 0
thread 0. word #127. length: 1, partial: 0
thread 0. word #128. length: 2, partial: 0
thread 0. word #129. length: 1, partial: 0
thread 0. word #130. length: 1, partial: 0
thread 0. word #131. length: 1, partial: 0
thread 0. word #132. length: 1, partial: 0
thread 0. word #133. length: 1, partial: 0
thread 0. word #134. length: 1, partial: 0
thread 0. word #135. length: 1, partial: 0
thread 0. word #136. length: 1, partial: 0
thread 0. word #137. length: 1, partial: 0
thread 0. word #138. length: 1, partial: 0
thread 0. word #139. length: 1, partial: 0
thread 0. word #140. length: 1, partial: 0
thread 0. word #141. length: 1, partial: 0
thread 0. word #142. length: 1, partial: 0
thread 0. word #143. length: 1, partial: 0
thread 0. word #144. length: 1, partial: 0
thread 0. word #145. length: 3, partial: 0
thread 0. word #146. length: 1, partial: 0
thread 0. word #147. length: 1, partial: 0
thread 0. word #148. length: 1, partial: 0
thread 0. word #149. length: 1, partial: 0
thread 0. word #150. length: 1, partial: 0
thread 0. word #151. length: 1, partial: 0
thread 0. word #152. length: 1, partial: 0
thread 0. word #153. length: 1, partial: 0
thread 0. word #154. length: 1, partial: 0
thread 0. word #155. length: 1, partial: 0
thread 0. word #156. length: 1, partial: 0
thread 0. word #157. length: 1, partial: 0
thread 0. word #158. length: 1, partial: 0
thread 0. word #159. length: 2, partial: 0
thread 0. word #160. length: 1, partial: 0
thread 0. word #161. length: 1, partial: 0
thread 0. word #162. length: 1, partial: 0
