16 threads
thread 2. word #1. length: 1, partial: 0
thread 2. word #2. length: 1, partial: 0
thread 2. word #3. length: 1, partial: 0
thread 2. word #4. length: 1, partial: 0
thread 2. word #5. length: 1, partial: 0
thread 3. word #0. length: 2, partial: 0
thread 3. word #1. length: 1, partial: 0
thread 3. word #2. length: 2, partial: 0
thread 3. word #3. length: 1, partial: 0
thread 3. word #4. length: 2, partial: 0
thread 3. word #5. length: 1, partial: 0
thread 3. word #6. length: 2, partial: 0
thread 3. word #7. length: 1, partial: 0
thread 4. word #0. length: 2, partial: 0
thread 4. word #1. length: 1, partial: 0
thread 4. word #2. length: 1, partial: 0
thread 4. word #3. length: 1, partial: 0
thread 4. word #4. length: 1, partial: 0
thread 4. word #5. length: 3, partial: 0
thread 4. word #6. length: 1, partial: 0
thread 5. word #0. length: 1, partial: 0
thread 5. word #1. length: 1, partial: 0
thread 5. word #2. length: 1, partial: 0
thread 5. word #3. length: 1, partial: 0
thread 5. word #4. length: 1, partial: 0
thread 5. word #5. length: 1, partial: 0
thread 5. word #6. length: 3, partial: 0
thread 5. word #7. length: 1, partial: 0
thread 5. word #8. length: 1, partial: 0
thread 5. word #9. length: 1, partial: 0
thread 5. word #10. length: 1, partial: 0
thread 6. word #0. length: 1, partial: 0
thread 6. word #1. length: 1, partial: 0
thread 6. word #2. length: 1, partial: 0
thread 6. word #3. length: 1, partial: 0
thread 6. word #4. length: 1, partial: 0
thread 6. word #5. length: 1, partial: 0
thread 6. word #6. length: 1, partial: 0
thread 6. word #7. length: 1, partial: 0
thread 6. word #8. length: 1, partial: 0
thread 6. word #9. length: 1, partial: 0
thread 6. word #10. length: 1, partial: 0
thread 6. word #11. length: 1, partial: 0
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 1, partial: 0
thread 7. word #2. length: 1, partial: 0
thread 7. word #3. length: 1, partial: 0
thread 7. word #4. length: 1, partial: 0
thread 7. word #5. length: 1, partial: 0
thread 7. word #6. length: 1, partial: 0
thread 7. word #7. length: 1, partial: 0
thread 7. word #8. length: 1, partial: 0
thread 7. word #9. length: 1, partial: 0
thread 7. word #10. length: 1, partial: 0
thread 7. word #11. length: 1, partial: 0
thread 8. word #0. length: 1, partial: 0
thread 8. word #1. length: 1, partial: 0
thread 8. word #2. length: 1, partial: 0
thread 8. word #3. length: 1, partial: 0
thread 8. word #4. length: 1, partial: 0
thread 8. word #5. length: 1, partial: 0
thread 8. word #6. length: 1, partial: 0
thread 8. word #7. length: 1, partial: 0
thread 8. word #8. length: 2, partial: 0
thread 8. word #9. length: 1, partial: 0
thread 8. word #10. length: 3, partial: 0
thread 8. word #11. length: 1, partial: 0
thread 8. word #12. length: 1, partial: 0
thread 8. word #13. length: 3, partial: 0
thread 9. word #0. length: 1, partial: 0
thread 9. word #1. length: 1, partial: 0
thread 9. word #2. length: 1, partial: 0
thread 9. word #3. length: 1, partial: 0
thread 9. word #4. length: 1, partial: 0
thread 9. word #5. length: 1, partial: 0
thread 9. word #6. length: 1, partial: 0
thread 9. word #7. length: 1, partial: 0
thread 9. word #8. length: 2, partial: 0
thread 9. word #9. length: 1, partial: 0
thread 9. word #10. length: 1, partial: 0
thread 9. word #11. length: 2, partial: 0
thread 9. word #12. length: 1, partial: 0
thread 9. word #13. length: 2, partial: 0
thread 10. word #0. length: 1, partial: 0
thread 10. word #1. length: 1, partial: 0
thread 10. word #2. length: 1, partial: 0
thread 10. word #3. length: 1, partial: 0
thread 10. word #4. length: 1, partial: 0
thread 10. word #5. length: 1, partial: 0
thread 10. word #6. length: 2, partial: 0
thread 10. word #7. length: 1, partial: 0
thread 10. word #8. length: 1, partial: 0
thread 10. word #9. length: 2, partial: 0
thread 10. word #10. length: 1, partial: 0
thread 10. word #11. length: 1, partial: 0
thread 10. word #12. length: 1, partial: 0
thread 10. word #13. length: 1, partial: 0
thread 10. word #14. length: 2, partial: 0
thread 10. word #15. length: 1, partial: 0
thread 10. word #16. length: 1, partial: 0
thread 10. word #17. length: 1, partial: 0
thread 10. word #18. length: 1, partial: 0
thread 11. word #0. length: 3, partial: 0
thread 11. word #1. length: 4, partial: 0
thread 11. word #2. length: 3, partial: 0
thread 11. word #3. length: 1, partial: 0
thread 11. word #4. length: 3, partial: 0
thread 11. word #5. length: 3, partial: 0
thread 11. word #6. length: 1, partial: 0
thread 11. word #7. length: 1, partial: 0
thread 11. word #8. length: 2, partial: 0
thread 11. word #9. length: 1, partial: 0
thread 12. word #0. length: 1, partial: 0
thread 12. word #1. length: 2, partial: 0
thread 12. word #2. length: 1, partial: 0
thread 12. word #3. length: 1, partial: 0
thread 12. word #4. length: 1, partial: 0
thread 12. word #5. length: 1, partial: 0
thread 12. word #6. length: 1, partial: 0
thread 12. word #7. length: 1, partial: 0
thread 12. word #8. length: 1, partial: 0
thread 12. word #9. length: 1, partial: 0
thread 12. word #10. length: 1, partial: 0
thread 12. word #11. length: 1, partial: 0
thread 12. word #12. length: 1, partial: 0
thread 12. word #13. length: 1, partial: 0
thread 12. word #14. length: 1, partial: 0
thread 12. word #15. length: 1, partial: 1
thread 13. word #0. length: 1, partial: 0
thread 13. word #1. length: 1, partial: 0
thread 13. word #2. length: 3, partial: 0
thread 13. word #3. length: 1, partial: 0
thread 13. word #4. length: 1, partial: 0
thread 13. word #5. length: 1, partial: 0
thread 13. word #6. length: 1, partial: 0
thread 13. word #7. length: 1, partial: 0
thread 13. word #8. length: 1, partial: 0
thread 13. word #9. length: 1, partial: 0
